Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,Class
43, Private,224610, HS-grad,9, Divorced, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,1003,39,40, United-States, <=50K
64, Private,37727, 10th,9, Separated, Craft-repair, Not-in-family, Black, Female,0,0,49, United-States, <=50K
27, Private,153541, 10th,9, Divorced, Exec-managerial, Own-child, White, Male,668,2204,41, United-States, <=50K
22, Private,114059, Some-college,13, Divorced, Adm-clerical, Husband, White, Female,668,39,49, United-States, <=50K
41, ?,24566, Assoc-voc,5, Divorced, Handlers-cleaners, Husband, White, Male,668,65,43, United-States, <=50K
59, Private,329896, Bachelors,9, Divorced, ?, Husband, White, Female,668,78,35, United-States, <=50K
50, Private,156174, Prof-school,9, Divorced, ?, Not-in-family, White, Male,4347,0,39, United-States, <=50K
18, ?,261460, HS-grad,9, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,5351,104,36, United-States, <=50K
66, ?,164070, 10th,13, Married-civ-spouse, ?, Husband, White, Male,0,65,39, United-States, <=50K
55, Private,158806, HS-grad,11, Never-married, Priv-house-serv, Wife, White, Female,668,156,55, Philippines, <=50K
27, ?,121956, HS-grad,11, Never-married, ?, Wife, Amer-Indian-Eskimo, Female,2675,104,14, United-States, <=50K
39, Private,243035, 10th,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1604,79, ?, <=50K
89, Private,166702, HS-grad,6, Married-civ-spouse, ?, Husband, White, Female,334,26,30, United-States, <=50K
40, Private,456239, Some-college,9, Married-civ-spouse, ?, Husband, White, Male,668,39,40, United-States, >50K
33, Private,132484, Some-college,8, Divorced, Craft-repair, Unmarried, White, Female,1003,130,39, United-States, <=50K
52, Private,282517, Bachelors,9, Divorced, ?, Husband, Black, Male,0,52,38, United-States, <=50K
20, Private,129852, HS-grad,12, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15718,52,16, United-States, >50K
22, Private,216713, Bachelors,12, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,334,0,40, Mexico, <=50K
44, Private,140381, 10th,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,1003,13,40, ?, >50K
29, Private,243035, Some-college,10, Never-married, ?, Husband, White, Male,334,1826,4, China, <=50K
29, Federal-gov,95634, 11th,10, Married-civ-spouse, Craft-repair, Husband, White, Female,334,65,38, United-States, <=50K
24, Self-emp-not-inc,385171, 10th,9, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,5351,0,48, ?, <=50K
37, ?,187759, 10th,10, Married-civ-spouse, ?, Husband, White, Female,2675,52,39, United-States, <=50K
37, Private,240402, 10th,4, Never-married, ?, Not-in-family, White, Male,334,13,62, United-States, <=50K
44, Federal-gov,237770, 11th,10, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,668,13,44, United-States, <=50K
51, Private,240402, Some-college,7, Never-married, ?, Husband, Asian-Pac-Islander, Female,1337,26,30, United-States, <=50K
51, ?,164070, Bachelors,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,1672,0,40, United-States, <=50K
29, Private,350953, Masters,12, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,668,52,44, United-States, >50K
38, Private,164070, Assoc-acdm,8, Divorced, ?, Unmarried, Black, Female,0,26,49, United-States, >50K
26, ?,169334, Some-college,3, Divorced, ?, Husband, Asian-Pac-Islander, Female,1337,1943,33, United-States, <=50K
30, Private,235138, 10th,10, Divorced, ?, Husband, White, Female,1003,52,39, United-States, <=50K
33, ?,214081, 11th,9, Never-married, ?, Husband, White, Male,0,0,39, United-States, <=50K
29, ?,206184, Bachelors,8, Married-civ-spouse, Tech-support, Husband, White, Female,0,78,41, United-States, <=50K
43, Local-gov,93002, Prof-school,9, Divorced, ?, Wife, White, Male,1672,1395,39, Puerto-Rico, <=50K
21, Private,177231, 12th,9, Married-civ-spouse, ?, Husband, White, Female,3344,26,40, United-States, <=50K
43, Private,156174, Assoc-voc,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,1672,65,37, United-States, >50K
42, Private,74577, 10th,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,3344,1669,41, United-States, <=50K
63, Private,95634, HS-grad,13, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,668,1930,38, United-States, >50K
47, Private,148277, 10th,8, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,668,26,46, ?, <=50K
19, Private,71945, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2341,104,19, United-States, >50K
27, ?,124588, HS-grad,9, Never-married, Machine-op-inspct, Husband, White, Female,3344,26,43, United-States, <=50K
23, Private,224610, Some-college,12, Married-civ-spouse, Other-service, Husband, White, Male,1003,91,42, United-States, <=50K
23, ?,164070, Bachelors,3, Divorced, ?, Husband, Black, Male,4347,0,39, United-States, <=50K
26, ?,208817, 10th,9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,1672,0,40, United-States, <=50K
26, Private,169334, Bachelors,9, Divorced, Adm-clerical, Husband, White, Male,668,13,39, United-States, <=50K
41, Local-gov,258828, 10th,9, Married-civ-spouse, Craft-repair, Husband, White, Female,334,52,38, United-States, <=50K
29, Private,35094, 10th,9, Widowed, ?, Unmarried, White, Male,668,1499,63, ?, <=50K
30, Local-gov,90370, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2341,13,59, United-States, <=50K
62, Private,166702, Bachelors,8, Married-civ-spouse, Adm-clerical, Husband, White, Male,1337,13,59, United-States, <=50K
44, State-gov,121956, HS-grad,8, Divorced, ?, Husband, White, Male,668,65,41, Italy, <=50K
