Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,Class
49, ?,116691, 9th,10, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,13377,1552,56, China, >50K
79, Federal-gov,772097, 12th,10, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,36120,2400,56, ?, <=50K
46, ?,248299, 10th,15, Never-married, ?, Husband, Asian-Pac-Islander, Male,25417,3208,92, ?, >50K
35, ?,348321, 10th,5, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male,18394,3378,24, ?, >50K
86, Federal-gov,64048, 10th,11, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,40133,3456,21, ?, >50K
43, Local-gov,295678, 1st-4th,4, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,99664,769,24, ?, <=50K
74, State-gov,550997, 10th,3, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Male,48828,469,86, ?, >50K
66, Local-gov,582582, 12th,10, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,56521,1721,20, Cambodia, <=50K
82, Local-gov,406228, 11th,13, Divorced, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Male,6354,1930,91, ?, <=50K
24, ?,293046, 12th,7, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Female,62541,2673,53, ?, >50K
72, ?,472032, 10th,9, Married-AF-spouse, ?, Husband, Black, Male,30100,3391,22, ?, >50K
21, ?,514146, 10th,1, Divorced, ?, Husband, Amer-Indian-Eskimo, Male,12708,3052,90, Cambodia, <=50K
55, Federal-gov,361482, 10th,15, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Male,56186,2439,12, ?, <=50K
34, Federal-gov,224610, 11th,9, Separated, Armed-Forces, Other-relative, Asian-Pac-Islander, Female,89296,704,18, Cambodia, <=50K
85, Local-gov,79841, 12th,8, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male,98326,2465,2, Cambodia, <=50K
28, Federal-gov,145645, 5th-6th,5, Separated, ?, Not-in-family, Amer-Indian-Eskimo, Male,93644,3469,57, Cambodia, <=50K
78, ?,806316, 5th-6th,12, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female,65551,3521,27, ?, >50K
