Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,Class
41, State-gov,174857, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,132920, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private,160477, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,39, United-States, <=50K
51, Private,175606, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
36, Private,191494, Prof-school,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,96, United-States, >50K
49, Private,183466, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,38, United-States, <=50K
41, Self-emp-not-inc,97035, HS-grad,7, Divorced, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, <=50K
40, Private,237058, Doctorate,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,73, United-States, <=50K
46, Private,201015, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
26, Private,211347, HS-grad,9, Separated, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private,108720, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1900,59, United-States, >50K
45, Private,268803, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5078,0,39, United-States, >50K
49, Private,150995, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1899,40, United-States, >50K
35, Private,156164, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
32, Private,224463, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,17, United-States, <=50K
35, Private,138695, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Self-emp-inc,226144, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, Private,103676, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,393215, Some-college,10, Never-married, Sales, Unmarried, White, Female,0,0,29, United-States, <=50K
32, Private,86192, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Federal-gov,145426, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,32, United-States, <=50K
31, Private,242405, 12th,8, Divorced, Protective-serv, Own-child, White, Male,0,0,53, Mexico, <=50K
42, Private,189067, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,43, United-States, <=50K
33, Private,322434, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, United-States, <=50K
36, State-gov,142649, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private,416422, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,483,0,39, United-States, >50K
24, Private,333844, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
