Age,Workclass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,Class
44, Local-gov,203836, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,-59,1911,38, United-States, >50K
68, Private,192052, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-7,15,68, United-States, >50K
41, Private,23653, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,-352,-4,40, United-States, <=50K
54, Private,215011, 10th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,-250,11,44, United-States, <=50K
31, Private,215586, Some-college,10, Never-married, Transport-moving, Unmarried, White, Female,-391,7,42, United-States, <=50K
39, Private,125362, 10th,5, Never-married, Craft-repair, Not-in-family, White, Male,-485,-7,39, United-States, <=50K
59, Local-gov,124421, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,-108,27,39, United-States, >50K
47, Local-gov,246939, Masters,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,-500,1982,40, United-States, >50K
64, Self-emp-inc,160536, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,-234,9,44, United-States, >50K
35, Self-emp-inc,131697, Some-college,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,-440,30,72, United-States, <=50K
46, Local-gov,190900, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,-96,1977,40, United-States, >50K
46, Self-emp-inc,245863, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,-317,15,58, United-States, >50K
28, Private,172685, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Female,-494,1,39, United-States, <=50K
25, Private,148913, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Male,-460,0,41, United-States, <=50K
23, Private,131459, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male,-980,-21,22, United-States, <=50K
54, Private,9791, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, White, Male,-31,1693,37, United-States, >50K
30, Private,172972, Bachelors,12, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,-232,0,43, United-States, <=50K
46, State-gov,201307, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,-528,19,42, United-States, <=50K
19, Private,170116, 11th,6, Never-married, Machine-op-inspct, Own-child, White, Male,-969,-4,44, United-States, <=50K
38, ?,-43972, Some-college,9, Never-married, ?, Not-in-family, White, Male,-340,2445,38, United-States, <=50K
55, Local-gov,252564, HS-grad,8, Married-civ-spouse, Exec-managerial, Wife, Black, Female,13,1,40, United-States, >50K
46, Private,47780, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,-912,22,41, United-States, <=50K
64, Self-emp-inc,172347, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,-237,63,41, United-States, >50K
23, Private,9547, Assoc-voc,10, Never-married, Exec-managerial, Not-in-family, White, Male,-382,-2,43, United-States, <=50K
56, Private,136094, Assoc-voc,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,-69,15,43, United-States, >50K
24, Private,280357, Some-college,9, Never-married, Other-service, Unmarried, Black, Female,-100,14,26, United-States, <=50K
50, Private,184186, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,76,15,69, United-States, >50K
27, Private,132342, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15,-2,42, United-States, <=50K
94, Self-emp-not-inc,179859, 9th,3, Widowed, Farming-fishing, Other-relative, White, Male,-660,-37,-13, United-States, <=50K
24, Private,147973, Some-college,9, Never-married, Sales, Own-child, White, Male,-513,11,45, United-States, <=50K
